chunk_id,source_id,section,risk_level,title_len,content_len,chunk_text_len,keyword_count,tag_count
kb_v1_001_c1,nice_sepsis_overview,red_flags,high,88,181,497,3,3
kb_v1_002_c1,nice_sepsis_overview,red_flags,high,68,282,614,4,3
kb_v1_003_c1,nice_sepsis_overview,red_flags,high,84,239,587,4,3
kb_v1_004_c1,nice_sepsis_overview,red_flags,high,73,245,602,3,3
kb_v1_005_c1,blood_tests,test_explainers,low,20,238,412,2,2
kb_v1_006_c1,blood_tests,test_explainers,low,44,236,533,2,2
kb_v1_007_c1,blood_tests,test_explainers,low,37,224,453,5,2
kb_v1_008_c1,blood_tests,test_explainers,low,40,190,509,2,2
kb_v1_009_c1,blood_tests,test_explainers,low,42,236,507,2,2
kb_v1_010_c1,chest_pain,red_flags,high,37,267,554,3,2
kb_v1_011_c1,chest_pain,red_flags,high,32,148,424,2,2
kb_v1_012_c1,chest_pain,red_flags,high,62,224,522,2,2
kb_v1_013_c1,shortness_of_breath,red_flags,high,35,248,526,3,2
kb_v1_014_c1,shortness_of_breath,red_flags,high,42,158,372,4,2
kb_v1_015_c1,shortness_of_breath,red_flags,high,42,197,488,2,2
kb_v1_2_016_c1,medlineplus_blood_culture_test,test_explainers,medium,44,208,557,3,3
kb_v1_2_017_c1,medlineplus_bmp_test,test_explainers,medium,52,236,559,4,2
kb_v1_2_018_c1,medlineplus_cbc_test,test_explainers,medium,51,226,553,5,2
kb_v1_2_019_c1,medlineplus_crp_test,test_explainers,medium,48,215,526,3,3
kb_v1_2_020_c1,medlineplus_ddimer_test,test_explainers,medium,58,226,605,4,3
kb_v1_2_021_c1,medlineplus_pulse_oximetry_test,test_explainers,medium,60,222,578,3,3
kb_v1_2_022_c1,medlineplus_troponin_test,test_explainers,medium,60,220,596,4,3
kb_v1_2_023_c1,nhs_anaphylaxis,red_flags,high,50,203,527,4,3
kb_v1_2_024_c1,nhs_anaphylaxis,red_flags,high,66,183,517,3,3
kb_v1_2_025_c1,nhs_fainting_adults,red_flags,high,55,186,473,4,3
kb_v1_2_026_c1,nhs_fainting_adults,red_flags,high,61,212,532,3,2
kb_v1_2_027_c1,nhs_headaches,red_flags,high,62,206,529,4,3
kb_v1_2_028_c1,nhs_headaches,red_flags,high,59,222,533,3,2
kb_v1_2_029_c1,nhs_stomach_ache,red_flags,high,57,202,542,4,3
kb_v1_2_030_c1,nhs_stomach_ache,red_flags,high,55,192,499,4,2
kb_v1_2_031_c1,nhs_stroke_symptoms,red_flags,high,46,173,454,4,3
kb_v1_2_032_c1,nhs_stroke_symptoms,red_flags,high,48,216,494,3,3
